seed,outcome,success,episode_length,total_reward,detected,detection_time,intercept_time,min_enemy_soldier_dist,min_defender_enemy_dist,final_enemy_soldier_dist,final_defender_enemy_dist,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius
394,intercepted,1,15,370.22803,1,11,15,10.362792,2.3408358,10.362792,2.3408358,12.0,18.0,15.0,2.5,2.0
395,soldier_caught,0,14,54.875244,1,10,-1,1.7195866,3.3303967,1.7195866,9.330558,12.0,18.0,15.0,2.5,2.0
396,soldier_caught,0,34,119.1246,1,9,-1,1.3781326,3.372757,1.3781326,5.2372513,12.0,18.0,15.0,2.5,2.0
397,unsafe_intercept,0,29,50.84015,1,9,-1,2.7007596,2.4346654,2.7908292,2.4346654,12.0,18.0,15.0,2.5,2.0
398,soldier_caught,0,21,69.07085,1,9,-1,1.3116189,2.9420364,1.3116189,6.780253,12.0,18.0,15.0,2.5,2.0
399,intercepted,1,13,327.10406,1,9,13,9.031146,2.483196,9.43972,2.483196,12.0,18.0,15.0,2.5,2.0
400,intercepted,1,26,257.224,1,8,26,3.4843814,2.2514207,4.930208,2.2514207,12.0,18.0,15.0,2.5,2.0
401,soldier_caught,0,36,68.096756,1,9,-1,1.7345979,2.8178024,1.7345979,4.1903744,12.0,18.0,15.0,2.5,2.0
402,intercepted,1,13,314.3485,1,12,13,10.4365,1.000702,10.4365,1.000702,12.0,18.0,15.0,2.5,2.0
403,unsafe_intercept,0,25,102.72354,1,12,-1,2.4009433,1.5381753,2.6061757,1.5381753,12.0,18.0,15.0,2.5,2.0
404,intercepted,1,11,310.03598,1,8,11,4.4424596,2.2799268,4.4424596,2.2799268,12.0,18.0,15.0,2.5,2.0
405,intercepted,1,18,297.141,1,10,18,2.4121845,2.2503881,4.580328,2.2503881,12.0,18.0,15.0,2.5,2.0
406,soldier_caught,0,13,171.8017,1,12,-1,0.8626381,5.680516,0.8626381,5.680516,12.0,18.0,15.0,2.5,2.0
407,soldier_caught,0,14,127.469055,1,12,-1,0.80134666,3.3347464,0.80134666,3.3347464,12.0,18.0,15.0,2.5,2.0
408,soldier_caught,0,29,58.544342,1,12,-1,1.6929204,2.6548645,1.6929204,3.1256807,12.0,18.0,15.0,2.5,2.0
409,soldier_caught,0,19,99.10802,1,12,-1,1.8057964,2.8100994,1.8057964,12.100515,12.0,18.0,15.0,2.5,2.0
410,unsafe_intercept,0,22,41.48024,1,9,-1,3.076976,1.5099543,3.2101743,1.5099543,12.0,18.0,15.0,2.5,2.0
411,unsafe_intercept,0,31,59.36725,1,12,-1,2.0138133,2.4360645,2.0138133,2.4360645,12.0,18.0,15.0,2.5,2.0
412,soldier_caught,0,9,113.04492,1,6,-1,0.66243464,3.058742,0.66243464,3.058742,12.0,18.0,15.0,2.5,2.0
413,soldier_caught,0,27,100.70816,1,9,-1,1.9451377,2.855514,1.9451377,11.012317,12.0,18.0,15.0,2.5,2.0
414,soldier_caught,0,10,28.939438,1,7,-1,1.865451,4.060801,1.865451,7.3504796,12.0,18.0,15.0,2.5,2.0
415,intercepted,1,32,291.21765,1,13,32,3.697802,2.3598456,4.9701033,2.3598456,12.0,18.0,15.0,2.5,2.0
416,soldier_caught,0,12,101.70987,1,8,-1,1.8331022,5.677353,1.8331022,6.850272,12.0,18.0,15.0,2.5,2.0
417,unsafe_intercept,0,16,51.723267,1,8,-1,2.8073397,0.36926508,3.4394956,0.36926508,12.0,18.0,15.0,2.5,2.0
418,intercepted,1,17,381.1967,1,14,17,2.9700892,1.567548,4.2450566,1.567548,12.0,18.0,15.0,2.5,2.0
419,soldier_caught,0,14,62.63217,1,9,-1,1.5194454,4.2230115,1.5194454,6.3104258,12.0,18.0,15.0,2.5,2.0
420,soldier_caught,0,24,167.91724,1,16,-1,1.1248012,5.9978433,1.1248012,7.216562,12.0,18.0,15.0,2.5,2.0
421,intercepted,1,21,287.495,1,9,21,2.4476848,2.1332924,6.5560684,2.1332924,12.0,18.0,15.0,2.5,2.0
422,soldier_caught,0,23,112.329025,1,11,-1,1.919297,3.3110325,1.919297,8.095945,12.0,18.0,15.0,2.5,2.0
423,intercepted,1,11,277.0619,1,7,11,4.6590858,2.4724715,4.6590858,2.4724715,12.0,18.0,15.0,2.5,2.0
424,soldier_caught,0,22,92.5679,1,8,-1,1.2450255,3.5589952,1.2450255,9.971054,12.0,18.0,15.0,2.5,2.0
425,intercepted,1,21,315.23175,1,9,21,2.31277,2.366694,4.3704524,2.366694,12.0,18.0,15.0,2.5,2.0
426,soldier_caught,0,37,139.4112,1,19,-1,1.8622179,4.3138494,1.8622179,9.150055,12.0,18.0,15.0,2.5,2.0
427,intercepted,1,19,387.60892,1,14,19,2.619523,1.1085852,4.0305967,1.1085852,12.0,18.0,15.0,2.5,2.0
428,soldier_caught,0,43,100.91733,1,8,-1,1.059277,1.4900024,1.059277,1.4900024,12.0,18.0,15.0,2.5,2.0
429,soldier_caught,0,19,205.51605,1,10,-1,1.0291855,5.1893773,1.0291855,6.8717723,12.0,18.0,15.0,2.5,2.0
430,soldier_caught,0,13,140.80168,1,9,-1,1.3057979,5.610421,1.3057979,7.929889,12.0,18.0,15.0,2.5,2.0
431,intercepted,1,10,309.24518,1,9,10,6.870438,1.6992761,6.870438,1.6992761,12.0,18.0,15.0,2.5,2.0
432,soldier_caught,0,19,98.41231,1,8,-1,1.4442829,2.625362,1.4442829,3.0428066,12.0,18.0,15.0,2.5,2.0
433,soldier_caught,0,18,59.96283,1,12,-1,1.6472253,3.3604221,1.6472253,5.3641996,12.0,18.0,15.0,2.5,2.0
434,intercepted,1,21,289.46188,1,9,21,4.7142863,2.225993,9.19818,2.225993,12.0,18.0,15.0,2.5,2.0
435,intercepted,1,15,276.71176,1,10,15,3.4247296,1.7644435,4.8286858,1.7644435,12.0,18.0,15.0,2.5,2.0
436,intercepted,1,8,281.133,1,7,8,7.6026335,1.5588272,7.6026335,1.5588272,12.0,18.0,15.0,2.5,2.0
437,soldier_caught,0,14,80.98691,1,9,-1,1.227815,5.4133563,1.227815,6.581796,12.0,18.0,15.0,2.5,2.0
438,soldier_caught,0,34,107.70085,1,9,-1,0.8985634,2.5083816,0.8985634,8.272053,12.0,18.0,15.0,2.5,2.0
439,soldier_caught,0,11,30.895935,1,8,-1,1.4079146,4.863883,1.4079146,5.6642604,12.0,18.0,15.0,2.5,2.0
440,intercepted,1,17,389.63724,1,13,17,9.978795,2.1736324,9.978795,2.1736324,12.0,18.0,15.0,2.5,2.0
441,soldier_caught,0,12,35.503235,1,8,-1,1.7173887,2.9944823,1.7173887,7.421512,12.0,18.0,15.0,2.5,2.0
442,soldier_caught,0,14,131.59279,1,10,-1,1.0420165,2.960962,1.0420165,10.339993,12.0,18.0,15.0,2.5,2.0
443,unsafe_intercept,0,32,-6.310211,1,8,-1,2.0915627,1.287979,2.6175666,1.287979,12.0,18.0,15.0,2.5,2.0
444,intercepted,1,12,317.9701,1,11,12,8.957649,0.9176419,8.957649,0.9176419,12.0,18.0,15.0,2.5,2.0
445,soldier_caught,0,16,194.31491,1,11,-1,1.6605643,5.380655,1.6605643,6.7387743,12.0,18.0,15.0,2.5,2.0
446,intercepted,1,39,288.3113,1,8,39,2.1794755,0.5077721,5.232459,0.5077721,12.0,18.0,15.0,2.5,2.0
447,unsafe_intercept,0,14,73.52542,1,9,-1,3.2097614,2.0428233,3.2097614,2.0428233,12.0,18.0,15.0,2.5,2.0
448,intercepted,1,27,336.3067,1,10,27,2.0063653,2.4698927,5.8007383,2.4698927,12.0,18.0,15.0,2.5,2.0
449,soldier_caught,0,13,141.93114,1,10,-1,0.8486794,5.773259,0.8486794,5.9686823,12.0,18.0,15.0,2.5,2.0
450,intercepted,1,14,338.89944,1,13,14,7.51166,1.6354533,7.51166,1.6354533,12.0,18.0,15.0,2.5,2.0
451,unsafe_intercept,0,16,23.242874,1,9,-1,2.504303,2.2095385,3.3614838,2.2095385,12.0,18.0,15.0,2.5,2.0
452,soldier_caught,0,15,161.99515,1,9,-1,1.2141266,3.0456305,1.2141266,3.0456305,12.0,18.0,15.0,2.5,2.0
453,intercepted,1,8,226.90187,1,7,8,10.097211,2.4999833,10.097211,2.4999833,12.0,18.0,15.0,2.5,2.0
454,intercepted,1,11,300.6038,1,8,11,11.102449,0.30519205,11.102449,0.30519205,12.0,18.0,15.0,2.5,2.0
455,intercepted,1,23,428.04514,1,13,23,2.6518655,1.4136091,6.0102468,1.4136091,12.0,18.0,15.0,2.5,2.0
456,intercepted,1,16,273.75912,1,10,16,3.5517364,2.2997553,6.5653353,2.2997553,12.0,18.0,15.0,2.5,2.0
457,soldier_caught,0,54,128.04745,1,14,-1,1.859885,3.1835134,1.859885,6.187806,12.0,18.0,15.0,2.5,2.0
458,unsafe_intercept,0,13,41.463226,1,12,-1,3.108144,2.1398566,3.108144,2.1398566,12.0,18.0,15.0,2.5,2.0
459,intercepted,1,15,323.81226,1,11,15,4.354182,0.47632468,6.019664,0.47632468,12.0,18.0,15.0,2.5,2.0
460,intercepted,1,14,296.55286,1,13,14,8.324638,2.0391867,8.324638,2.0391867,12.0,18.0,15.0,2.5,2.0
461,soldier_caught,0,10,63.419785,1,7,-1,0.61966354,4.6064143,0.61966354,6.704899,12.0,18.0,15.0,2.5,2.0
462,intercepted,1,9,296.43982,1,7,9,9.782314,2.2369926,10.85032,2.2369926,12.0,18.0,15.0,2.5,2.0
463,intercepted,1,15,305.10422,1,9,15,2.3320012,1.1962228,5.501635,1.1962228,12.0,18.0,15.0,2.5,2.0
464,soldier_caught,0,24,73.2686,1,9,-1,1.0021285,2.9752655,1.0021285,2.9752655,12.0,18.0,15.0,2.5,2.0
465,soldier_caught,0,15,127.61455,1,10,-1,1.748872,3.0479333,1.748872,5.1603303,12.0,18.0,15.0,2.5,2.0
466,intercepted,1,21,318.48743,1,7,21,5.446524,2.1851833,5.446524,2.1851833,12.0,18.0,15.0,2.5,2.0
467,intercepted,1,18,319.8033,1,10,18,2.6704435,1.799345,7.500434,1.799345,12.0,18.0,15.0,2.5,2.0
468,soldier_caught,0,17,166.32172,1,12,-1,1.7877309,3.1472828,1.7877309,3.1472828,12.0,18.0,15.0,2.5,2.0
469,soldier_caught,0,31,135.30754,1,14,-1,1.7201432,3.7943926,1.7201432,5.2107115,12.0,18.0,15.0,2.5,2.0
470,intercepted,1,17,281.55933,1,9,17,2.6411793,2.2888799,5.197396,2.2888799,12.0,18.0,15.0,2.5,2.0
471,intercepted,1,23,395.71,1,18,23,7.7573333,2.354845,7.7573333,2.354845,12.0,18.0,15.0,2.5,2.0
472,soldier_caught,0,10,60.381683,1,8,-1,1.4012036,3.0335605,1.4012036,11.861389,12.0,18.0,15.0,2.5,2.0
473,intercepted,1,8,287.65356,1,7,8,7.962368,2.2874248,7.962368,2.2874248,12.0,18.0,15.0,2.5,2.0
474,intercepted,1,11,299.8792,1,7,11,5.3835793,2.0846002,5.3835793,2.0846002,12.0,18.0,15.0,2.5,2.0
475,unsafe_intercept,0,31,47.806503,1,7,-1,2.1330884,1.7508237,2.4394784,1.7508237,12.0,18.0,15.0,2.5,2.0
476,intercepted,1,14,310.24207,1,10,14,2.7776031,2.3161557,4.3689065,2.3161557,12.0,18.0,15.0,2.5,2.0
477,unsafe_intercept,0,25,76.57803,1,11,-1,2.02836,1.310724,3.120417,1.310724,12.0,18.0,15.0,2.5,2.0
478,soldier_caught,0,20,77.39874,1,10,-1,1.9367803,3.9601977,1.9367803,7.897384,12.0,18.0,15.0,2.5,2.0
479,intercepted,1,13,289.04938,1,7,13,2.4452069,1.4907426,6.4099803,1.4907426,12.0,18.0,15.0,2.5,2.0
480,intercepted,1,22,270.86136,1,21,22,8.24443,1.4288542,8.24443,1.4288542,12.0,18.0,15.0,2.5,2.0
481,soldier_caught,0,12,84.830124,1,10,-1,1.8505348,3.2612803,1.8505348,11.414758,12.0,18.0,15.0,2.5,2.0
482,soldier_caught,0,24,107.91492,1,10,-1,1.9518143,2.6629074,1.9518143,8.248764,12.0,18.0,15.0,2.5,2.0
483,soldier_caught,0,27,71.84889,1,8,-1,1.983374,2.790635,1.983374,4.349891,12.0,18.0,15.0,2.5,2.0
484,soldier_caught,0,13,177.8013,1,11,-1,0.27257717,3.5558548,0.27257717,10.129074,12.0,18.0,15.0,2.5,2.0
485,soldier_caught,0,29,71.62079,1,13,-1,1.9968091,3.917446,1.9968091,6.520433,12.0,18.0,15.0,2.5,2.0
486,intercepted,1,33,379.22305,1,12,33,5.71356,1.8646706,8.464568,1.8646706,12.0,18.0,15.0,2.5,2.0
487,unsafe_intercept,0,21,50.52246,1,7,-1,2.2135305,2.1915421,2.2135305,2.1915421,12.0,18.0,15.0,2.5,2.0
488,intercepted,1,25,362.28204,1,12,25,3.3483982,1.7495128,5.2155275,1.7495128,12.0,18.0,15.0,2.5,2.0
489,intercepted,1,19,302.40295,1,18,19,5.0851073,0.9226801,5.0851073,0.9226801,12.0,18.0,15.0,2.5,2.0
490,intercepted,1,19,305.01282,1,10,19,4.8403716,2.2435093,4.8403716,2.2435093,12.0,18.0,15.0,2.5,2.0
491,soldier_caught,0,23,149.43303,1,14,-1,1.5015919,4.57122,1.5015919,4.797766,12.0,18.0,15.0,2.5,2.0
492,soldier_caught,0,19,96.346405,1,12,-1,1.0564013,2.777157,1.0564013,2.777157,12.0,18.0,15.0,2.5,2.0
493,intercepted,1,20,312.23877,1,11,20,3.5639741,0.90203285,5.198275,0.90203285,12.0,18.0,15.0,2.5,2.0
494,unsafe_intercept,0,20,104.27107,1,13,-1,2.654163,1.8182434,2.7903247,1.8182434,12.0,18.0,15.0,2.5,2.0
495,intercepted,1,16,318.23077,1,9,16,2.1884625,1.3798931,4.0855556,1.3798931,12.0,18.0,15.0,2.5,2.0
496,unsafe_intercept,0,18,10.866379,1,9,-1,2.6943495,2.431765,2.6943495,2.431765,12.0,18.0,15.0,2.5,2.0
497,soldier_caught,0,20,128.62894,1,10,-1,1.1938083,3.1736288,1.1938083,5.3265896,12.0,18.0,15.0,2.5,2.0
498,intercepted,1,19,305.1756,1,18,19,7.9678917,2.1737673,7.9678917,2.1737673,12.0,18.0,15.0,2.5,2.0
499,soldier_caught,0,15,54.36389,1,8,-1,1.897503,2.9275932,1.897503,11.323743,12.0,18.0,15.0,2.5,2.0
500,unsafe_intercept,0,19,90.32268,1,10,-1,2.4275165,2.3961508,2.6190948,2.3961508,12.0,18.0,15.0,2.5,2.0
501,intercepted,1,19,279.8375,1,10,19,4.6854286,2.3754067,7.198693,2.3754067,12.0,18.0,15.0,2.5,2.0
502,unsafe_intercept,0,15,23.560562,1,8,-1,2.1352763,1.2709197,2.241582,1.2709197,12.0,18.0,15.0,2.5,2.0
503,soldier_caught,0,18,87.1801,1,9,-1,0.47594,4.382477,0.47594,7.273807,12.0,18.0,15.0,2.5,2.0
504,soldier_caught,0,27,168.60657,1,15,-1,0.6819616,2.8737376,0.6819616,2.8737376,12.0,18.0,15.0,2.5,2.0
505,intercepted,1,8,292.1714,1,7,8,7.581979,1.1215773,7.581979,1.1215773,12.0,18.0,15.0,2.5,2.0
506,unsafe_intercept,0,22,21.733673,1,11,-1,2.2308118,2.2478676,2.2308118,2.2478676,12.0,18.0,15.0,2.5,2.0
507,soldier_caught,0,16,118.250534,1,14,-1,1.7008805,5.038533,1.7008805,9.00857,12.0,18.0,15.0,2.5,2.0
508,soldier_caught,0,27,81.551956,1,10,-1,1.3594551,3.4658065,1.3594551,11.340043,12.0,18.0,15.0,2.5,2.0
509,soldier_caught,0,27,124.891556,1,12,-1,1.2071143,2.8132157,1.2071143,3.3700542,12.0,18.0,15.0,2.5,2.0
510,soldier_caught,0,17,81.08952,1,7,-1,1.6430118,2.7415931,1.6430118,2.7415931,12.0,18.0,15.0,2.5,2.0
511,unsafe_intercept,0,23,25.395874,1,9,-1,2.3327355,1.9173441,3.1816714,1.9173441,12.0,18.0,15.0,2.5,2.0
512,soldier_caught,0,19,116.46495,1,14,-1,1.8997828,5.631577,1.8997828,6.6139255,12.0,18.0,15.0,2.5,2.0
513,soldier_caught,0,11,73.76225,1,7,-1,1.5465796,5.6018553,1.5465796,6.1715894,12.0,18.0,15.0,2.5,2.0
514,soldier_caught,0,26,133.26338,1,11,-1,0.09991944,3.5987525,0.09991944,10.549571,12.0,18.0,15.0,2.5,2.0
515,unsafe_intercept,0,18,104.49278,1,16,-1,2.5326807,1.0374422,2.5326807,1.0374422,12.0,18.0,15.0,2.5,2.0
516,intercepted,1,11,305.25748,1,7,11,6.983608,1.5935794,6.983608,1.5935794,12.0,18.0,15.0,2.5,2.0
517,soldier_caught,0,10,103.2578,1,8,-1,1.2699299,6.4243283,1.2699299,6.4243283,12.0,18.0,15.0,2.5,2.0
