seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes,model_version,mean_tracking_error,final_tracking_error
522,soldier_caught,0,15,1,11,-1,12.0,18.0,15.0,2.5,2.0,0.944246,3.6678805,1000,unknown,1.5368682533502578,4.526357650756836
523,intercepted,1,16,1,12,16,12.0,18.0,15.0,2.5,2.0,4.0367684,2.2995584,1000,unknown,1.3963746786117555,3.1601803302764893
524,intercepted,1,11,1,7,11,12.0,18.0,15.0,2.5,2.0,9.105158,2.0639126,1000,unknown,1.0704087793827057,1.6898504495620728
525,soldier_caught,0,24,1,15,-1,12.0,18.0,15.0,2.5,2.0,1.6385367,2.6036704,1000,unknown,2.028146129846573,2.7494211196899414
526,intercepted,1,18,1,15,18,12.0,18.0,15.0,2.5,2.0,4.748304,1.6284406,1000,unknown,1.198021449148655,2.5786423683166504
527,soldier_caught,0,14,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.7148417,4.031742,1000,unknown,2.1213240793773105,2.8051116466522217
528,intercepted,1,10,1,9,10,12.0,18.0,15.0,2.5,2.0,9.739942,1.573446,1000,unknown,1.1023963391780853,0.6781827807426453
529,soldier_caught,0,27,1,11,-1,12.0,18.0,15.0,2.5,2.0,0.9589631,2.8062394,1000,unknown,2.6328668734606575,1.924072265625
530,unsafe_intercept,0,18,1,14,-1,12.0,18.0,15.0,2.5,2.0,2.7621717,1.9809334,1000,unknown,1.0030735373497008,1.6540318727493286
531,intercepted,1,13,1,11,13,12.0,18.0,15.0,2.5,2.0,7.6555037,2.2840307,1000,unknown,0.42481554051240283,0.38957470655441284
532,intercepted,1,15,1,13,15,12.0,18.0,15.0,2.5,2.0,5.3646855,2.3346732,1000,unknown,0.9309012095133463,0.665696382522583
533,intercepted,1,11,1,7,11,12.0,18.0,15.0,2.5,2.0,3.6102812,1.6361868,1000,unknown,0.9168092250823975,2.630734443664551
