seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes
384,intercepted,1,12,1,11,12,12.0,18.0,15.0,2.5,2.0,6.0005555,2.4499755,1000
385,soldier_caught,0,21,1,9,-1,12.0,18.0,15.0,2.5,2.0,0.39335388,3.2645195,1000
386,intercepted,1,20,1,11,20,12.0,18.0,15.0,2.5,2.0,2.1595662,2.4772046,1000
387,soldier_caught,0,13,1,10,-1,12.0,18.0,15.0,2.5,2.0,0.39117548,4.7237325,1000
388,unsafe_intercept,0,17,1,11,-1,12.0,18.0,15.0,2.5,2.0,2.43526,1.7876401,1000
389,soldier_caught,0,15,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.8308135,0.8653952,1000
390,intercepted,1,34,1,10,34,12.0,18.0,15.0,2.5,2.0,2.6032274,2.478561,1000
391,intercepted,1,14,1,12,14,12.0,18.0,15.0,2.5,2.0,4.9025083,2.419645,1000
392,soldier_caught,0,12,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.6784447,2.4842076,1000
393,unsafe_intercept,0,18,1,9,-1,12.0,18.0,15.0,2.5,2.0,3.2136497,1.1751513,1000
394,intercepted,1,16,1,14,16,12.0,18.0,15.0,2.5,2.0,5.6368136,2.1397896,1000
395,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,9.525996,2.0989292,1000
396,unsafe_intercept,0,14,1,9,-1,12.0,18.0,15.0,2.5,2.0,2.0850039,2.4108481,1000
397,soldier_caught,0,16,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.8765769,3.3387854,1000
398,intercepted,1,17,1,8,17,12.0,18.0,15.0,2.5,2.0,6.7435064,2.0836759,1000
399,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,9.031146,1.1156056,1000
400,unsafe_intercept,0,11,1,6,-1,12.0,18.0,15.0,2.5,2.0,3.201441,2.4745677,1000
401,intercepted,1,11,1,9,11,12.0,18.0,15.0,2.5,2.0,7.450647,1.8748459,1000
402,intercepted,1,15,1,13,15,12.0,18.0,15.0,2.5,2.0,11.263754,1.600319,1000
403,soldier_caught,0,26,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.4796494,3.805835,1000
404,unsafe_intercept,0,17,1,9,-1,12.0,18.0,15.0,2.5,2.0,2.9964254,1.8383639,1000
405,unsafe_intercept,0,13,1,11,-1,12.0,18.0,15.0,2.5,2.0,3.360904,1.3098354,1000
406,unsafe_intercept,0,28,1,11,-1,12.0,18.0,15.0,2.5,2.0,2.0066164,1.407971,1000
407,soldier_caught,0,18,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.8591825,4.2180214,1000
408,soldier_caught,0,14,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.9275008,2.151944,1000
409,soldier_caught,0,17,1,11,-1,12.0,18.0,15.0,2.5,2.0,0.9473347,3.3080242,1000
410,intercepted,1,17,1,11,17,12.0,18.0,15.0,2.5,2.0,2.2578332,0.96928513,1000
411,intercepted,1,29,1,10,29,12.0,18.0,15.0,2.5,2.0,6.040189,1.1841835,1000
